Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID
Falcons ,ATL,LAC,DST,2400,5.6,-0.2,3,15905752
Hayden Hurst,ATL,LAC,TE,3700,10.1,-0.3,3,15905527
KJ Hamler,DEN,CAR,WR,3000,8.7,-0.3,3,15905459
Josh Jacobs,LV,IND,RB,6300,15.2,-0.3,3,15904901
Kyler Murray,ARI,NYG,QB,7200,21.9,-0.4,7,15904804
Nelson Agholor,LV,IND,WR,4700,11.9,-0.4,3,15905215
Irv Smith Jr.,MIN,TB,TE,3100,8.7,-0.4,3,15905545
Broncos ,DEN,CAR,DST,2500,5.6,-0.4,1,15905749
CeeDee Lamb,DAL,CIN,WR,4800,12,-0.5,3,15905211
Deshaun Watson,HOU,CHI,QB,7600,23,-0.5,3,15904802
Andy Dalton,DAL,CIN,QB,5500,16.5,-0.6,1,15904818
Ezekiel Elliott,DAL,CIN,RB,6600,15.4,-0.7,7,15904891
Darren Waller,LV,IND,TE,6800,15.8,-0.7,7,15905503
Bears ,CHI,HOU,DST,3000,6.3,-0.7,7,15905739
Chargers ,LAC,ATL,DST,2600,5.5,-0.7,3,15905748
Giants ,NYG,ARI,DST,2600,5.5,-0.7,7,15905746
Allen Robinson II,CHI,HOU,WR,6800,15.7,-0.8,11,15905157
Darnell Mooney,CHI,HOU,WR,3500,9.2,-0.8,1,15905269
Brandon Allen,CIN,DAL,QB,4900,14.5,-0.8,1,15904836
Chris Godwin,TB,MIN,WR,6300,14.7,-0.8,7,15905169
T.Y. Hilton,IND,LV,WR,5100,12.2,-0.9,7,15905197
Kirk Cousins,MIN,TB,QB,6200,18.3,-0.9,7,15904809
Jonnu Smith,TEN,JAX,TE,3900,9.8,-0.9,1,15905523
Alex Smith,WAS,SF,QB,5200,15.3,-0.9,1,15904825
Anthony Miller,CHI,HOU,WR,3900,9.8,-1,1,15905247
T.J. Hockenson,DET,GB,TE,5000,11.9,-1,3,15905507
Jordan Akins,HOU,CHI,TE,2900,7.8,-1,3,15905557
Mike Evans,TB,MIN,WR,6600,15,-1,7,15905161
Buccaneers ,TB,MIN,DST,2900,5.8,-1,7,15905740
Dalton Schultz,DAL,CIN,TE,3500,8.9,-1.1,1,15905535
Hunter Henry,LAC,ATL,TE,4400,10.6,-1.1,7,15905513
Golden Tate,NYG,ARI,WR,3600,9,-1.1,1,15905265
Sterling Shepard,NYG,ARI,WR,5200,12.2,-1.1,3,15905195
Raiders ,LV,IND,DST,2500,4.9,-1.1,1,15905750
Noah Fant,DEN,CAR,TE,4100,10,-1.2,3,15905519
Mike Williams,LAC,ATL,WR,4700,11.1,-1.2,3,15905221
Packers ,GB,DET,DST,3300,6.3,-1.2,3,15905735
Cole Kmet,CHI,HOU,TE,2900,7.5,-1.3,3,15905561
Danny Amendola,DET,GB,WR,4000,9.7,-1.3,1,15905239
Darius Slayton,NYG,ARI,WR,4200,10,-1.3,1,15905231
Russell Gage,ATL,LAC,WR,4500,10.5,-1.4,1,15905225
Jerry Jeudy,DEN,CAR,WR,4700,10.9,-1.4,3,15905219
Mike Gesicki,MIA,KC,TE,4500,10.5,-1.4,3,15905511
Leonard Fournette,TB,MIN,RB,4500,10.6,-1.4,1,15904959
Michael Pittman Jr.,IND,LV,WR,5000,11.5,-1.5,3,15905199
Zach Pascal,IND,LV,WR,3300,8,-1.5,1,15905279
Jakeem Grant,MIA,KC,WR,3400,8.2,-1.5,1,15905273
Zach Ertz,PHI,NO,TE,3700,8.9,-1.5,1,15905529
Chiefs ,KC,MIA,DST,3500,6.4,-1.5,7,15905734
Drew Lock,DEN,CAR,QB,5100,14.3,-1.6,1,15904830
Mo Alie-Cox,IND,LV,TE,2500,6.4,-1.6,1,15905571
Rob Gronkowski,TB,MIN,TE,4800,10.9,-1.6,7,15905509
DeAndre Hopkins,ARI,NYG,WR,7600,16.4,-1.7,3,15905143
